Semestre,Codigo,Edad,Genero,Ocupacion,Etnia,Tipo_vivienda,Estrato,Estado_civil,Nivel_escolar,Jornada_academica,Acudiente,Departamento_nacimiento,Municipio_nacimiento,Puntaje_icfes,Promedio_general,Asignaturas_preferidas,Logica_matematica,Neuroanatomia,Historia_fundamentos,Epistemologia,Actividad_formativa,Proyecto_vida,Electiva_sociohumanistica
1,73292323,17,0,0,1,1,1,0,1,0,1,1,4,289,3.5,0,1,1,1,1,0,0,1
1,73292363,17,0,1,1,1,1,0,1,0,1,0,21,234,2,0,1,1,1,1,0,0,1
1,73292288,16,0,0,0,2,3,0,0,0,1,0,0,315,3.2,0,1,1,0,0,1,0,0
1,73292248,17,0,0,1,2,4,0,0,0,1,0,0,316,3.7,0,0,1,1,1,1,0,1
1,73292327,18,0,0,2,0,1,0,0,0,1,1,16,282,3.8,0,0,1,1,0,1,0,0
1,73292325,18,1,0,1,2,2,0,0,0,1,0,0,224,4,0,1,0,1,1,1,1,1
1,73292358,17,1,0,2,0,1,0,0,0,1,0,10,224,4.2,0,1,1,1,1,1,0,1
1,73292243,18,0,0,1,0,2,0,0,0,1,0,23,272,4.1,0,1,1,1,1,0,0,1
1,73292341,20,0,0,1,2,1,0,1,0,1,0,22,190,4,0,1,1,0,0,1,0,1
1,73292294,18,0,0,1,2,1,0,1,0,1,2,7,128,3.5,0,1,1,0,0,1,0,1
1,73292328,24,0,0,1,0,3,2,1,0,1,0,0,299,4,0,1,1,1,1,1,1,0
1,73292332,17,0,0,3,2,2,0,0,0,1,0,0,296,4.3,1,1,1,1,1,1,1,1
1,73292319,17,0,0,1,0,3,0,0,0,1,0,12,274,4.5,0,1,1,0,0,1,1,1
1,73292252,19,0,0,2,2,1,0,1,0,1,0,0,300,4.3,0,0,0,0,0,1,0,1
1,73292293,17,0,0,1,2,6,0,0,0,1,6,11,159,4,0,1,0,0,0,1,1,1
1,73292362,19,0,0,1,0,4,0,1,0,0,1,14,240,3.9,0,1,1,1,0,1,0,0
1,73292236,19,0,0,1,1,1,0,0,0,0,1,4,210,4.3,1,1,1,1,1,1,1,1
1,73292342,19,0,0,1,0,1,0,0,0,0,2,15,277,4,0,1,0,1,1,1,1,1
1,73292374,19,0,0,2,1,1,0,0,0,0,0,0,286,4,1,1,1,1,1,1,1,1
1,73292316,19,0,0,1,1,2,0,0,0,1,7,2,278,4.2,1,1,1,1,1,1,1,1
1,73292265,26,0,0,1,0,2,0,1,0,0,0,5,303,4.1,0,1,0,0,1,1,1,1
1,73292370,25,1,2,1,1,2,0,1,0,0,7,2,45,4,1,1,1,1,1,1,1,1
1,73292359,26,0,1,0,2,3,0,1,0,1,0,0,103,3.9,1,1,1,1,1,1,1,1
1,73292357,27,1,0,1,0,3,0,0,0,0,3,1,98,3.8,0,0,1,0,0,1,1,1
1,73292380,24,0,0,1,0,3,2,0,0,0,5,13,245,3.6,0,1,1,0,0,1,0,0
1,73292291,18,1,0,1,0,4,0,0,0,1,0,6,228,4,0,1,1,0,0,1,1,0
1,73292371,22,0,0,1,2,3,0,0,0,1,0,0,145,3.8,1,1,1,1,1,1,1,1
1,73292354,20,1,0,3,2,3,0,0,0,1,8,17,270,4.5,0,1,0,1,1,1,1,1
1,73292279,19,1,1,2,2,2,0,0,0,1,0,23,209,3.9,0,1,1,0,0,1,0,1
1,73292333,20,0,1,1,2,1,0,1,0,1,0,0,167,3.7,0,1,1,1,0,1,1,1
1,73262190,21,0,1,2,2,1,0,1,0,1,0,0,150,3.6,0,1,1,1,0,1,1,1
1,73293357,31,1,1,1,0,2,0,1,0,1,0,6,59,4,0,1,1,1,0,1,1,1
1,73392220,31,0,0,1,2,2,2,1,0,1,0,0,118,4,0,1,1,1,0,1,1,1
1,73292147,31,0,2,1,1,2,1,1,1,0,0,0,320,3.6,0,0,1,0,1,1,1,1
1,73292183,28,0,2,1,1,2,0,1,0,1,0,0,35,3,0,1,1,1,0,1,1,1
1,73292322,38,0,0,2,2,2,1,0,0,0,0,20,110,3.4,0,1,1,0,1,1,1,1
1,73292266,22,0,2,1,2,2,2,1,0,1,0,19,400,3.5,0,0,1,1,1,1,0,0
